series,horizon,error
United States,30,-2.1766252518315845
United States,30,-2.2460674309121273
United States,30,-0.3648469450585914
United States,30,-0.38235019405552784
United States,30,-0.39504497814809447
United States,30,-0.39007974888084895
United States,30,-0.36144447641968114
United States,30,-0.5960888611440289
United States,30,-0.908334227269826
United States,30,-1.0623688931702908
United States,30,-0.890680159620775
United States,30,-0.8694624856781097
United States,30,-1.0192192537585125
United States,30,-1.2201686473133275
United States,30,-1.418299681948758
United States,30,-1.4405141158313857
United States,30,-1.5059960231466256
United States,30,-1.4287937998742564
United States,30,-1.778524611676655
United States,30,-1.7364345411676645
United States,30,-1.9404465240446545
United States,30,-0.43762568680609704
United States,30,-0.1752963118130051
United States,30,-0.9067134637788357
United States,30,-0.7700903735096034
United States,30,-1.508376778054627
United States,30,-1.531196318521829
United States,30,-1.7953751338411479
United States,30,-1.700934964997046
United States,30,-1.733761199507784
United States,30,-1.5602386303693336
United States,30,-1.115024485174926
United States,30,-0.10424754703982764
United States,30,0.19480000120599072
United States,30,0.25049163289548027
United States,30,0.3759009522558454
United States,30,0.6533887546377031
United States,30,1.3607409763062748
United States,30,2.321082682685283
United States,30,2.7018521160171964
United States,30,3.2924544448189597
United States,30,3.2516646028537846
United States,30,3.6278184364763177
United States,30,4.170426234584024
United States,30,5.611313392456488
United States,30,6.919479561302698
United States,30,6.0117859111127245
United States,30,6.56079930004563
United States,30,7.63788340647266
United States,30,10.74816867181088
United States,30,8.56047999572283
United States,30,8.408357664377231
United States,30,8.205654626093459
United States,30,5.911427252262257
United States,30,5.541306852081602
United States,30,5.3167040528561635
United States,30,6.710821296393984
United States,30,5.543818813310448
United States,30,5.338964913999032
United States,30,4.913966926597045
United States,30,3.2125354459478075
United States,30,3.0833999979645768
United States,30,-0.8731867483687807
United States,30,-1.2606842428104947
United States,30,-1.204857864762447
United States,30,-1.4578325649423487
United States,30,-1.86168880868561
United States,30,-1.6547392466850201
United States,30,-1.48382659118227
United States,30,-1.8565896635212127
United States,30,-1.7288854312304487
United States,30,-1.4616959758295174
United States,30,-1.5189928038161558
United States,30,-1.4358358609605766
United States,30,-0.6883837032466698
United States,30,-0.12309116000461273
United States,30,-0.5407333994408035
United States,30,-0.6062081448853363
United States,30,-0.2636721591476441
United States,30,-0.27824740499995393
United States,30,-0.18946915398412756
United States,30,0.40407394015132425
United States,30,0.42580261009838694
United States,30,-0.13885020303468032
United States,30,-0.41330323019403536
United States,30,-0.24874516753714637
United States,30,-0.4199387110352788
United States,30,-0.10346275688885243
United States,30,0.29471034598482504
United States,30,0.5685184867921418
United States,30,0.36876217185055893
United States,30,0.3529375310906975
United States,30,0.17698463980769752
United States,30,0.5548371376425347
United States,30,1.0145150546738577
United States,30,1.0774117247225306
United States,30,1.4691522459733015
United States,30,1.1612434214955947
United States,30,0.8497877618709282
